system:index,active_proportion,activity_label,alert_id,classification,count,label,n_active,n_coca,n_forest,n_historical,n_pixels,region,threat_level,.geo
+3238+5661,0.0,LOW RISK: Intact forest or RADD false positive,+3238+5661,0,2,1,0,0,40,9,49,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.45648927528734,-12.058175890264751]}"
+3239+5556,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3239+5556,1,1,1,0,0,13,32,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44975191065645,-11.5888061543123]}"
+3239+5580,0.022222222222222223,LOW RISK: Intact forest or RADD false positive,+3239+5580,0,1,1,1,5,32,7,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44975191065645,-11.696603988406642]}"
+3239+5582,0.0,COCA CULTIVATION detected — illegal narcotics production in protected area,+3239+5582,3,2,1,0,40,8,0,48,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.45199769886673,-11.705587141247838]}"
+3239+5598,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3239+5598,1,1,1,0,0,11,34,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44975191065645,-11.777452363977401]}"
+3239+5634,0.0,LOW RISK: Intact forest or RADD false positive,+3239+5634,0,1,1,0,0,37,8,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44975191065645,-11.939149115118914]}"
+3239+5664,0.0,LOW RISK: Intact forest or RADD false positive,+3239+5664,0,20,1,0,0,31,16,47,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.47692594800105,-12.06199373022226]}"
+3239+5778,0.1111111111111111,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3239+5778,1,1,1,5,0,0,40,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44975191065645,-12.585936119684968]}"
+3240+5575,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3240+5575,1,1,1,0,14,6,25,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44526033423584,-11.674146106303654]}"
+3240+5584,0.0,LOW RISK: Intact forest or RADD false positive,+3240+5584,0,1,1,0,0,41,4,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44526033423584,-11.714570294089034]}"
+3240+5587,0.0,LOW RISK: Intact forest or RADD false positive,+3240+5587,0,1,1,0,0,45,0,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44526033423584,-11.728045023350825]}"
+3240+5592,0.0,LOW RISK: Intact forest or RADD false positive,+3240+5592,0,1,1,0,0,45,0,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44526033423584,-11.750502905453812]}"
+3240+5604,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3240+5604,1,1,1,0,0,10,35,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44526033423584,-11.804401822500987]}"
+3240+5617,0.2222222222222222,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3240+5617,1,1,1,10,0,14,21,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44526033423584,-11.862792315968756]}"
+3240+5624,0.021739130434782608,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3240+5624,1,63,1,1,0,4,41,46,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.4334966817057,-11.857730380637603]}"
+3240+5630,0.0851063829787234,LOW RISK: Intact forest or RADD false positive,+3240+5630,0,2,1,4,0,24,19,47,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44526033423584,-11.918937021226226]}"
